Linked Account,Cost
Practice-AI-PROD-GBL,8750.17
DevOpsToolchain-CHC-PROD-IND,5613.55
DMS-SAB,2573.44
MKTGlobal-DEV-UAT-PROD-GBL,2293.38
UlteraMS-PROD-DAP,2012.66
Backup-PROD-CSA,1798.93
GSRC-PROD-GBL,1475.35
IT-SAB,1384.03
GGLHR-CHC,807.36
Backup-PROD-SAB,665.36
Tools-SAB,591.34
PS-SAB,516.94
GlobalCloudPractice-POC-GBL,222.45
DTS-AppDev-AWS-PROD-US,124.54
Global Log Archive,64.8
Automotive-PROD-US,28.42
Global Audit,20.8
Cloud-DEV-DXP,16.33
VertexCICDAgent-POC-GBL,14.54
Avangrid-Prod-DXP,10.36
Partnerships-PROD-GBL,10.27
TalentPlatform-PROD-MX,10.14
AWSConsumptionCalculator-PROD-GBL,10.11
AD2-Data-Science-Wexer-PROD-US,10.03
ADD-ModernSWEngSandbox-PoC-US,2.05
MavenlinkAccount,0.17
Practices-PoC-GBL,0.12
DTS-MSE-AWE-Classes-PoC-US,0
BIConverterAgent-Dev-GBL,0
ANZDataProject-Dev-APAC,0
CTOKeysightEggplant-PoC-GBL,0
HLS-POC-DAP,0
AWS_CoE-DEV-CSA,0
AWSGlue-PoC-GBL,0
ConnectedSolutionsSandbox-PoC-US,0
HIPAA_CC_NP-DEV-CSA,0
TalentPlatform-DEV-MX,0
BC-Gov-POC-SAB,0
GSRC-DSPM-PoC-GBL,0
ExperityHealth-DEV-OPD,0
AWS-Enterprise-GBL,0
Automotive-DEV-GBL,0
Organization-PoC-SAB,0
Movoto-PoC-OPD,0
DataGovernance-PoC-MX,0
DTS-AppDev-AWS-Stage-UAT-US,0
BlockchainManagedServices-PoC-GBL,0
Innovation-SAB,0
CloudDevOps-PoC-CSA,0
DTS-AppDev-AWS-DEV-US,0
PS-LAB-SAB,0
DTS-AppDev-AWS-Test-UAT-US,0
AutomotiveInnovationLab-PoC-US,0
SkytouchVisualization-PoC-MX,0
CPFrameworkFileAmbassador-UAT-DAP,0
MobileKotlin1-PoC-CSA,0
