Linked Account,Prev Month Cost,Curr Month Cost,Difference,Percentage Change
Practice-AI-PROD-GBL,4427.52,8750.17,4322.65,97.6
BlockchainManagedServices-PoC-GBL,1453.9,0,-1453.9,-100
Cloud-DEV-DXP,1161.15,16.33,-1144.82,-98.6
HLS-POC-DAP,1101.08,0,-1101.08,-100
VertexCICDAgent-POC-GBL,1101.04,14.54,-1086.5,-98.7
DevOpsToolchain-CHC-PROD-IND,6577.21,5613.55,-963.66,-14.7
HIPAA_CC_NP-DEV-CSA,667.63,0,-667.63,-100
BIConverterAgent-Dev-GBL,597.1,0,-597.1,-100
AWSGlue-PoC-GBL,373.3,0,-373.3,-100
GGLHR-CHC,532.3,807.36,275.06,51.7
GSRC-PROD-GBL,1651.65,1475.35,-176.3,-10.7
GlobalCloudPractice-POC-GBL,392.82,222.45,-170.37,-43.4
ConnectedSolutionsSandbox-PoC-US,160.56,0,-160.56,-100
DMS-SAB,2445.24,2573.44,128.2,5.2
IT-SAB,1261.04,1384.03,122.99,9.8
Backup-PROD-CSA,1697.18,1798.93,101.75,6
UlteraMS-PROD-DAP,1915.85,2012.66,96.81,5.1
CloudDevOps-PoC-CSA,95.13,0,-95.13,-100
PS-SAB,438.05,516.94,78.89,18
ExperityHealth-DEV-OPD,77.92,0,-77.92,-100
MKTGlobal-DEV-UAT-PROD-GBL,2222.82,2293.38,70.56,3.2
Tools-SAB,523.83,591.34,67.51,12.9
Innovation-SAB,36.99,0,-36.99,-100
PS-LAB-SAB,32.67,0,-32.67,-100
DTS-AppDev-AWS-DEV-US,31.63,0,-31.63,-100
AWS_CoE-DEV-CSA,15.57,0,-15.57,-100
Backup-PROD-SAB,650.44,665.36,14.92,2.3
ADD-ModernSWEngSandbox-PoC-US,14.57,2.05,-12.52,-85.9
BC-Gov-POC-SAB,8.42,0,-8.42,-100
GSRC-DSPM-PoC-GBL,7.94,0,-7.94,-100
Movoto-PoC-OPD,7.93,0,-7.93,-100
CTOKeysightEggplant-PoC-GBL,7.91,0,-7.91,-100
MobileKotlin1-PoC-CSA,7.91,0,-7.91,-100
SkytouchVisualization-PoC-MX,7.86,0,-7.86,-100
Global Log Archive,57.17,64.8,7.63,13.3
DataGovernance-PoC-MX,7.28,0,-7.28,-100
Automotive-DEV-GBL,6.86,0,-6.86,-100
Organization-PoC-SAB,6.53,0,-6.53,-100
DTS-AppDev-AWS-PROD-US,119.2,124.54,5.34,4.5
ANZDataProject-Dev-APAC,4.7,0,-4.7,-100
AutomotiveInnovationLab-PoC-US,4.55,0,-4.55,-100
DTS-MSE-AWE-Classes-PoC-US,4.51,0,-4.51,-100
DTS-AppDev-AWS-Test-UAT-US,4.43,0,-4.43,-100
DTS-AppDev-AWS-Stage-UAT-US,4.36,0,-4.36,-100
TalentPlatform-DEV-MX,3.68,0,-3.68,-100
Partnerships-PROD-GBL,7.36,10.27,2.91,39.5
Global Audit,18.32,20.8,2.48,13.5
TalentPlatform-PROD-MX,7.82,10.14,2.32,29.7
Avangrid-Prod-DXP,8.17,10.36,2.19,26.8
AWSConsumptionCalculator-PROD-GBL,7.97,10.11,2.14,26.9
AD2-Data-Science-Wexer-PROD-US,7.93,10.03,2.1,26.5
Automotive-PROD-US,26.36,28.42,2.06,7.8
Practices-PoC-GBL,0.01,0.12,0.11,1100
MavenlinkAccount,0.24,0.17,-0.07,-29.2
AWS-Enterprise-GBL,0,0,0,0
CPFrameworkFileAmbassador-UAT-DAP,0,0,0,0
