Month,Category,Cost
2026-02,Other,13614.52
2026-02,Compute,6760.49
2026-02,Serverless/Integration,0.48
2026-02,Security & Governance,1507.34
2026-02,Storage,1.33
2026-02,Monitoring & Logging,1176.63
2026-02,Analytics,822.86
2026-02,Support,635.23
2026-02,AI/ML - Bedrock,1238.81
2026-02,Networking,371.54
2026-02,Database,1777.58
2026-02,AI/ML - Other,2588.93
2026-02,Tax,2963.65
2026-03,Other,246589.23
2026-03,Compute,7517.94
2026-03,Serverless/Integration,0.04
2026-03,Security & Governance,1544.19
2026-03,Storage,1.42
2026-03,Monitoring & Logging,1287.1
2026-03,Analytics,852.99
2026-03,Support,765.23
2026-03,AI/ML - Bedrock,3637.18
2026-03,Networking,436.39
2026-03,Database,2593.41
2026-03,AI/ML - Other,2862.77
2026-03,Tax,19432.76
2026-04,Other,14971.48
2026-04,Compute,7823.2
2026-04,Serverless/Integration,0.04
2026-04,Security & Governance,1498.04
2026-04,Storage,1.42
2026-04,Monitoring & Logging,1310.03
2026-04,Analytics,867.66
2026-04,Support,745.63
2026-04,AI/ML - Bedrock,6044.53
2026-04,Networking,451.11
2026-04,Database,2494.21
2026-04,AI/ML - Other,2771.24
2026-04,Tax,3600.48
2026-05,Other,14584.04
2026-05,Compute,8010.54
2026-05,Serverless/Integration,0.05
2026-05,Security & Governance,2034.06
2026-05,Storage,1.42
2026-05,Monitoring & Logging,1520.66
2026-05,Analytics,851.19
2026-05,Support,764.27
2026-05,AI/ML - Bedrock,5078.28
2026-05,Networking,590.27
2026-05,Database,2585.19
2026-05,AI/ML - Other,2862.25
2026-05,Tax,3646.13
2026-06,Other,11462.99
2026-06,Compute,6764
2026-06,Serverless/Integration,0.04
2026-06,Security & Governance,1525.17
2026-06,Storage,1.42
2026-06,Monitoring & Logging,527.56
2026-06,Analytics,866.89
2026-06,Support,551.88
2026-06,AI/ML - Bedrock,4497.21
2026-06,Networking,477.29
2026-06,Database,2548.74
2026-06,AI/ML - Other,0
2026-06,Tax,2788.42
2026-07,Other,8791.7
2026-07,Compute,4502.43
2026-07,Serverless/Integration,0.02
2026-07,Security & Governance,1422.65
2026-07,Storage,1.42
2026-07,Monitoring & Logging,524.14
2026-07,Analytics,267.9
2026-07,Support,193.72
2026-07,AI/ML - Bedrock,8356.81
2026-07,Networking,284.04
2026-07,Database,1952.96
2026-07,AI/ML - Other,0
2026-07,Tax,2729.86
