Service,Mean,Std Dev,Coefficient of Variation %
AWS AppSync,0.07,0.16,223.6
Amazon Cognito,0.8,1.78,223.6
Claude 3 Sonnet (Amazon Bedrock Edition),3.13,6.99,223.6
AWS Transfer Family,0.01,0.02,223.6
Amazon Managed Streaming for Apache Kafka,0.32,0.71,223.6
Coursera Enterprise Plan,5208.33,11646.19,223.6
Secureworks Taegis XDR,33320,74505.78,223.6
Amazon Polly,0.01,0.02,223.6
Amazon Registrar,2.5,5.59,223.6
Claude Sonnet 5 (Amazon Bedrock Edition),4.25,9.5,223.6
Amazon DynamoDB,0.05,0.12,223.4
Claude Fable 5 (Amazon Bedrock Edition),0.1,0.22,223.2
Amazon Textract,0.06,0.13,219.2
CloudWatch Events,0.02,0.03,212.1
Claude Opus 4.8 (Amazon Bedrock Edition),352.21,733.92,208.4
Claude Opus 4.5 (Amazon Bedrock Edition),0.1,0.2,205.4
Amazon Bedrock,0.69,1.21,176.6
Amazon Connect,1.18,2.05,173.8
Amazon Redshift,1.18,1.75,148.8
Claude 3.5 Sonnet v2 (Amazon Bedrock Edition),11.64,16.47,141.5
Claude Opus 4.7 (Amazon Bedrock Edition),12.44,16.12,129.6
Amazon Bedrock AgentCore,13.47,17.32,128.5
Claude Sonnet 4.5 (Amazon Bedrock Edition),4.05,4.82,119.2
AWS Systems Manager,0.04,0.04,114
Tax,5860.22,6080.68,103.8
Claude Opus 4.1 (Amazon Bedrock Edition),62.12,62.46,100.5
"Contact Center Telecommunications (service sold by AMCS, LLC)",2.16,2.04,94.1
CodeBuild,0.52,0.46,88.9
Claude Opus 4.6 (Amazon Bedrock Edition),346.36,298.85,86.3
Amazon CloudFront,64.88,55.5,85.5
AWS Budgets,0.02,0.01,73.3
Claude Sonnet 4 (Amazon Bedrock Edition),673.63,484.55,71.9
Amazon SageMaker,1847.46,1309.54,70.9
Amazon Elastic Container Service for Kubernetes,290.37,202.62,69.8
Claude Haiku 4.5 (Amazon Bedrock Edition),7.9,4.96,62.8
AWS Lambda,8.71,5.39,61.9
Claude Sonnet 4.6 (Amazon Bedrock Edition),3316.73,1952.56,58.9
AmazonCloudWatch,620.22,354.63,57.2
AWS Glue,0.77,0.39,50.8
Debian 13 (debian 13 x86_64) | Support by SupportedImages,347.1,165.48,47.7
Amazon ElastiCache,12.69,5.85,46.1
n8n on Amazon Linux 2023,8.22,3.71,45.2
AWS Cost Explorer,1.19,0.54,45.1
Amazon Kinesis,24.18,10.88,45
Amazon Managed Blockchain,1041.6,467.68,44.9
AWS Data Pipeline,3.33,1.49,44.7
Amazon Q,31.67,14.16,44.7
Amazon QuickSight,456.67,204.23,44.7
AWS Amplify,13.02,5.77,44.3
AWS App Runner,9.01,3.76,41.7
AWS Secrets Manager,25.16,9.61,38.2
Amazon EC2 Container Registry (ECR),10.09,3.11,30.8
AWS Service Catalog,7.18,2.08,29
Amazon Elastic Compute Cloud - Compute,6427.69,1785.46,27.8
AWS Key Management Service,152.55,37.11,24.3
Amazon API Gateway,0.04,0.01,20.6
AWS Security Hub,222.44,44.88,20.2
Amazon Lightsail,8.83,1.77,20.1
Amazon Elastic Load Balancing,382.76,76.61,20
AWS Directory Service,66.23,13.21,19.9
AWS Config,792.59,154.61,19.5
Amazon GuardDuty,120.02,22.61,18.8
Amazon Virtual Private Cloud,1105.71,207.35,18.8
AWS CloudTrail,437.45,76.82,17.6
EC2 - Other,5412.51,948.96,17.5
Amazon Simple Notification Service,15.7,2.49,15.9
Amazon Relational Database Service,2191.95,324.54,14.8
Amazon Elastic Container Service,1156.92,170.62,14.7
AWS Support (Developer),262.23,37.25,14.2
Amazon Simple Queue Service,3.12,0.37,11.9
Amazon Route 53,4.93,0.52,10.5
Amazon OpenSearch Service,269.65,14.43,5.4
Amazon DocumentDB (with MongoDB compatibility),119.48,4.22,3.5
Cisco Secure Firewall ASA Virtual - PAYG,253.28,8.93,3.5
AWS WAF,275.02,8.12,3
Amazon Simple Storage Service,3848.51,109.21,2.8
Amazon Glacier,1.31,0.03,2.6
Amazon WorkSpaces,302.11,5.42,1.8
Amazon Elastic File System,0.04,0,0.2
AWS Backup,0.06,0,0
Amazon Managed Grafana,9,0,0
