Service,Cost
Claude Sonnet 4.6 (Amazon Bedrock Edition),5681.54
Amazon Simple Storage Service,3972.63
Amazon Elastic Compute Cloud - Compute,3545.73
EC2 - Other,3379.97
Tax,2729.86
Claude Opus 4.8 (Amazon Bedrock Edition),1990.39
Amazon Relational Database Service,1830.18
Amazon Elastic Container Service,1092.39
AWS Config,842.02
Amazon Virtual Private Cloud,658.01
AWS CloudTrail,438.82
Claude Sonnet 4 (Amazon Bedrock Edition),403.59
Amazon WorkSpaces,290
AWS WAF,269.75
Amazon OpenSearch Service,267.9
Cisco Secure Firewall ASA Virtual - PAYG,260.05
Amazon Elastic Load Balancing,230.82
Claude Opus 4.1 (Amazon Bedrock Edition),197.69
AWS Support (Developer),193.72
AWS Security Hub,129.46
Amazon CloudFront,122.86
Amazon DocumentDB (with MongoDB compatibility),122.78
Amazon GuardDuty,107.17
AmazonCloudWatch,85.32
AWS Key Management Service,70.58
Claude Opus 4.6 (Amazon Bedrock Edition),45.64
AWS Directory Service,37.19
Claude Sonnet 5 (Amazon Bedrock Edition),25.49
AWS Lambda,20.46
Amazon Simple Notification Service,13.45
Claude Haiku 4.5 (Amazon Bedrock Edition),11.66
Amazon Managed Grafana,9
Amazon Lightsail,5
Amazon Route 53,4.03
Amazon EC2 Container Registry (ECR),3.82
AWS Secrets Manager,3.68
AWS Service Catalog,2.93
Amazon Simple Queue Service,2.52
Amazon Glacier,1.32
AWS App Runner,0.78
Claude Fable 5 (Amazon Bedrock Edition),0.59
AWS Amplify,0.17
Claude Sonnet 4.5 (Amazon Bedrock Edition),0.11
Amazon Bedrock,0.1
AWS Backup,0.06
Amazon Elastic File System,0.04
Amazon API Gateway,0.02
