Service,Months Active,Total Months,Active %,Classification
AWS Amplify,6,6,100,Recurring
AWS App Runner,6,6,100,Recurring
AWS Backup,6,6,100,Recurring
AWS CloudShell,6,6,100,Recurring
AWS CloudTrail,6,6,100,Recurring
AWS Config,6,6,100,Recurring
AWS Data Pipeline,6,6,100,Recurring
AWS Directory Service,6,6,100,Recurring
AWS IoT,6,6,100,Recurring
AWS Key Management Service,6,6,100,Recurring
AWS Lambda,6,6,100,Recurring
AWS Secrets Manager,6,6,100,Recurring
AWS Security Hub,6,6,100,Recurring
AWS Service Catalog,6,6,100,Recurring
AWS Step Functions,6,6,100,Recurring
AWS Support (Developer),6,6,100,Recurring
AWS WAF,6,6,100,Recurring
Amazon API Gateway,6,6,100,Recurring
Amazon Bedrock,6,6,100,Recurring
Amazon CloudFront,6,6,100,Recurring
Amazon DocumentDB (with MongoDB compatibility),6,6,100,Recurring
Amazon EC2 Container Registry (ECR),6,6,100,Recurring
EC2 - Other,6,6,100,Recurring
Amazon Elastic Compute Cloud - Compute,6,6,100,Recurring
Amazon Elastic Container Service,6,6,100,Recurring
Amazon Elastic File System,6,6,100,Recurring
Amazon Elastic Load Balancing,6,6,100,Recurring
Amazon Glacier,6,6,100,Recurring
Amazon GuardDuty,6,6,100,Recurring
Amazon Lightsail,6,6,100,Recurring
Amazon Managed Grafana,6,6,100,Recurring
Amazon OpenSearch Service,6,6,100,Recurring
Amazon Q,6,6,100,Recurring
Amazon QuickSight,6,6,100,Recurring
Amazon Relational Database Service,6,6,100,Recurring
Amazon Route 53,6,6,100,Recurring
Amazon Simple Email Service,6,6,100,Recurring
Amazon Simple Notification Service,6,6,100,Recurring
Amazon Simple Queue Service,6,6,100,Recurring
Amazon Simple Storage Service,6,6,100,Recurring
Amazon Virtual Private Cloud,6,6,100,Recurring
Amazon WorkSpaces,6,6,100,Recurring
AmazonCloudWatch,6,6,100,Recurring
Cisco Secure Firewall ASA Virtual - PAYG,6,6,100,Recurring
Claude Opus 4.1 (Amazon Bedrock Edition),6,6,100,Recurring
Claude Opus 4.6 (Amazon Bedrock Edition),6,6,100,Recurring
Claude Sonnet 4 (Amazon Bedrock Edition),6,6,100,Recurring
Claude Sonnet 4.5 (Amazon Bedrock Edition),6,6,100,Recurring
Claude Sonnet 4.6 (Amazon Bedrock Edition),6,6,100,Recurring
Tax,6,6,100,Recurring
AWS Cost Explorer,5,6,83.3,Recurring
AWS Glue,5,6,83.3,Recurring
AWS Systems Manager,5,6,83.3,Recurring
Amazon Bedrock AgentCore,5,6,83.3,Recurring
Amazon DynamoDB,5,6,83.3,Recurring
Amazon ElastiCache,5,6,83.3,Recurring
Amazon Elastic Container Service for Kubernetes,5,6,83.3,Recurring
Amazon Kinesis,5,6,83.3,Recurring
Amazon Managed Blockchain,5,6,83.3,Recurring
Amazon Redshift,5,6,83.3,Recurring
Amazon SageMaker,5,6,83.3,Recurring
Claude Haiku 4.5 (Amazon Bedrock Edition),5,6,83.3,Recurring
"Contact Center Telecommunications (service sold by AMCS, LLC)",5,6,83.3,Recurring
